request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-5040afb37d7e4b7da7daa5d231887b9e,prefill,70.17173433303833,70.19893074035645,3905,0
cmpl-5040afb37d7e4b7da7daa5d231887b9e,decode,70.19893074035645,71.21559143066406,0,302
cmpl-7c0ce5ce6dfb4b16af67007766506a43,prefill,69.34351754188538,69.36169934272766,881,0
cmpl-7c0ce5ce6dfb4b16af67007766506a43,decode,69.36169934272766,72.47907519340515,0,932
cmpl-d19e02a9fb0547e48866c749ed200205,prefill,70.99394035339355,71.04132461547852,6483,0
cmpl-d19e02a9fb0547e48866c749ed200205,decode,71.04132461547852,73.5499153137207,0,761
cmpl-865bff5a555948fc92d4ccbbb1068aaa,prefill,71.80938601493835,71.82735753059387,1868,0
cmpl-865bff5a555948fc92d4ccbbb1068aaa,decode,71.82735753059387,75.20002913475037,0,1024
cmpl-77504e59c46847bd9a757c0972dc12ce,prefill,74.26823401451111,74.27210021018982,2,0
cmpl-77504e59c46847bd9a757c0972dc12ce,decode,74.27210021018982,75.47293257713318,0,361
cmpl-41f065834fa14f078123cf4f3bf452a7,prefill,72.62583041191101,72.62967991828918,2,0
cmpl-41f065834fa14f078123cf4f3bf452a7,decode,72.62967991828918,76.0383985042572,0,1024
cmpl-d9bfc05e3f3346ae8b4af3731a3537d4,prefill,73.44582414627075,73.45124840736389,455,0
cmpl-d9bfc05e3f3346ae8b4af3731a3537d4,decode,73.45124840736389,76.5634298324585,0,932
cmpl-a804366dd06a47f6a4bb750eaa2ff654,prefill,75.91961932182312,75.96693778038025,7168,0
cmpl-a804366dd06a47f6a4bb750eaa2ff654,decode,75.96693778038025,77.61085796356201,0,471
cmpl-bf1dddba80904c07b54f0db31086c20f,prefill,76.74258637428284,76.78897881507874,7168,0
cmpl-bf1dddba80904c07b54f0db31086c20f,decode,76.78897881507874,77.93284463882446,0,333
cmpl-732f420f3db94641b5e86757b882b3e6,prefill,75.09948682785034,75.1288628578186,4426,0
cmpl-732f420f3db94641b5e86757b882b3e6,decode,75.1288628578186,78.63801336288452,0,1024
cmpl-61fadcc270f144dfa42c343dd888db4f,prefill,77.55588698387146,77.5794448852539,3690,0
cmpl-61fadcc270f144dfa42c343dd888db4f,decode,77.5794448852539,80.39201402664185,0,834
